name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Nuzhat Parween,http://www.espncricinfo.com/ci/content/player/960973.html,"September 5, 1996, Singrauli, Madhya Pradesh ","India Women,",-,-,-,1,-,-,-,-,1,-,-,-,-,0
Praveen Thakur,http://www.espncricinfo.com/ci/content/player/1168001.html,"December 15, 1992, Shimla, Himachal Pradesh ",Himachal Pradesh,30.50,217,9,7,0,44,0,2,2,0,61,0,28.11,0
Pravesh Sharma,http://www.espncricinfo.com/ci/content/player/32964.html,date unknown ,Himachal Pradesh,0.00,5,0,0,0,0,0,2,1,0,0,0,0.00,0
Parvez Ahmed,http://www.espncricinfo.com/ci/content/player/1175460.html,"January 1, 1996 ",Mizoram,5.00,21,0,2,0,5*,0,5,5,3,10,0,47.61,0
Praveen Kumar,http://www.espncricinfo.com/ci/content/player/536657.html,"September 21, 1986, Guntur, Andhra Pradesh ",Andhra,-,12,0,0,0,4*,0,3,5,3,7,0,58.33,0
Pratyush Kumar,http://www.espncricinfo.com/ci/content/player/1083144.html,"July 1, 1995, Rae Bareli, Baroda ",Baroda Under-22s,24.00,28,1,-,0,24,0,1,1,0,24,1,85.71,-
Pratyush Singh,http://www.espncricinfo.com/ci/content/player/717205.html,"September 4, 1994, Hazaribagh, Bihar ","Chennai Super Kings,",31.04,1267,109,13,3,110,1,25,14,0,776,1,61.24,0
Alagh Prathiban,http://www.espncricinfo.com/ci/content/player/604770.html,"September 15, 1989, Chennai ","Ruby Trichy Warriors,",3.00,6,0,0,0,3,0,1,1,0,3,0,50.00,0
Pratham Singh,http://www.espncricinfo.com/ci/content/player/1083464.html,"August 31, 1992, Delhi ","Gujarat Lions,",34.86,1227,66,3,3,95,0,15,10,0,523,3,42.62,0
Veer Pratap Singh,http://www.espncricinfo.com/ci/content/player/528967.html,"May 3, 1992, Nalanda, Bihar ","Bengal,",10.44,856,47,6,0,30,0,31,21,4,282,0,32.94,0
Pratap Singh,http://www.espncricinfo.com/ci/content/player/425783.html,"December 9, 1986, Morena, Madhya Pradesh ",Madhya Pradesh Cricket Association XI,8.00,11,0,1,0,8,0,1,3,0,8,0,72.72,0
Pratap Singh,http://www.espncricinfo.com/ci/content/player/625377.html,"October 26, 1993, Sitalpur, Bengal ",Bengal,3.00,4,0,0,0,3,0,1,2,0,3,0,75.00,0
Umang Sharma,http://www.espncricinfo.com/ci/content/player/596945.html,"October 20, 1989, Meerut, Uttar Pradesh ","Gujarat Lions,",39.36,3636,210,26,9,215,3,48,29,4,1732,6,47.63,0
Shivalik Sharma,http://www.espncricinfo.com/ci/content/player/1167965.html,"November 28, 1998, Baroda, Gujarat ",Baroda,25.50,106,7,3,1,51,0,2,2,0,51,0,48.11,0
Shubham Sharma,http://www.espncricinfo.com/ci/content/player/680045.html,"December 24, 1993, Indore, Madhya Pradesh ","Madhya Pradesh Under-16s,",34.62,3066,153,10,7,196,3,47,29,7,1385,6,45.17,0
Sahil Sharma,http://www.espncricinfo.com/ci/content/player/554378.html,"November 9, 1989, Jammu ",Jammu & Kashmir,34.50,144,7,1,0,44*,0,5,3,3,69,3,47.91,0
Shashaank Sharma,http://www.espncricinfo.com/ci/content/player/702937.html,"September 7, 1992, Kullu ","Himachal Pradesh,",12.70,274,16,15,0,31,0,11,7,1,127,3,46.35,4
Shubham Sharma,http://www.espncricinfo.com/ci/content/player/1126182.html,"March 26, 1997, Jaipur, Rajasthan ","Rajasthan,",0.50,9,0,0,0,1,0,2,1,0,1,0,11.11,0
Sanjeev Sharma,http://www.espncricinfo.com/ci/content/player/33963.html,"August 25, 1965, Delhi ","India,",28.00,80,9,1,0,38,0,3,2,1,56,0,70.00,0
Sagar Sharma,http://www.espncricinfo.com/ci/content/player/1135676.html,"December 30, 1997, Damoh, Madhya Pradesh ","Madhya Pradesh Under-16s,",-,3,0,0,0,0*,0,1,1,1,0,0,0.00,0
Shubhlakshmi Sharma,http://www.espncricinfo.com/ci/content/player/490627.html,"December 31, 1989, Hazaribagh, Bihar ","India Blue Women,",4.00,17,0,0,0,4,0,1,1,0,4,0,23.52,0
Romario Sharma,http://www.espncricinfo.com/ci/content/player/722225.html,"December 19, 1994, Kamrup, Assam ","Assam,",3.50,42,0,0,0,7,0,2,1,0,7,0,16.66,0
Rohit Sharma,http://www.espncricinfo.com/ci/content/player/934943.html,"June 28, 1993, Jhajjar, Haryana ",Haryana,25.20,2362,99,29,7,107,1,41,24,2,983,2,41.61,3
Rohit Sharma,http://www.espncricinfo.com/ci/content/player/34102.html,"April 30, 1987, Bansod, Nagpur, Maharashtra ","India,",39.62,2881,151,25,10,177,3,47,27,7,1585,32,55.01,0
Mohit Sharma,http://www.espncricinfo.com/ci/content/player/422708.html,"December 19, 1991, Delhi ","Delhi,",36.25,909,61,5,3,175,1,12,9,0,435,1,47.85,0
Mohit Kumar,http://www.espncricinfo.com/ci/content/player/1175453.html,"September 25, 1996, Gurgaon, Haryana ",Services,-,-,-,1,-,-,-,-,6,-,-,-,-,0
Mohit Ahlawat,http://www.espncricinfo.com/ci/content/player/924377.html,"December 25, 1995, Delhi ",Delhi,8.45,145,11,14,1,52,0,11,7,0,93,3,64.13,0
Maneik Mohil,http://www.espncricinfo.com/ci/content/player/682589.html,"April 12, 1988, Sirmour, Himachal Pradesh ","Himachal Pradesh,",4.50,17,2,1,0,9,0,2,1,0,9,0,52.94,0
Mohd Israr,http://www.espncricinfo.com/ci/content/player/795005.html,"August 2, 1990, Saharanpur, Uttar Pradesh ",Uttar Pradesh,10.33,135,4,1,0,12,0,6,4,3,31,0,22.96,0
S Mohan Prasath,http://www.espncricinfo.com/ci/content/player/1048871.html,"June 30, 1998, Coimbatore, Tamil Nadu ","Karaikudi Kaalai,",0.00,1,0,1,0,0,0,1,1,0,0,0,0.00,0
Sarbeswar Mohanty,http://www.espncricinfo.com/ci/content/player/1175446.html,"May 23, 1995, Balasore ",Odisha,1.00,3,0,1,0,1*,0,2,2,1,1,0,33.33,0
Debasis Mohanty,http://www.espncricinfo.com/ci/content/player/31025.html,"July 20, 1976, Bhubaneswar, Orissa ","India,",-,8,0,0,0,0*,0,1,2,1,0,0,0.00,0
Prasidh Krishna,http://www.espncricinfo.com/ci/content/player/917159.html,"February 19, 1996, Bangalore, Karnataka ","Bellary Tuskers,",6.33,104,2,2,0,25,0,8,6,2,38,4,36.53,0
Prashant Kumar,http://www.espncricinfo.com/ci/content/player/1132695.html,date unknown ,Haryana,19.00,21,0,0,0,19,0,1,1,0,19,1,90.47,0
Prashant Singh,http://www.espncricinfo.com/ci/content/player/1175479.html,"September 17, 2000, Chapra, BIhar ",Bihar,9.80,57,3,2,0,12*,0,6,6,1,49,1,85.96,0
Padmanabhan Prasanth,http://www.espncricinfo.com/ci/content/player/32211.html,"May 22, 1985, Thiruvananthapuram, Kerala ","Kerala Under-16s,",23.74,1892,98,14,4,106,1,43,30,8,831,9,43.92,0
Hari Prasanth,http://www.espncricinfo.com/ci/content/player/32617.html,date unknown ,Tamil Nadu,-,-,-,1,-,-,-,-,1,-,-,-,-,1
Prasanth Kumar,http://www.espncricinfo.com/ci/content/player/481046.html,"December 13, 1991, Anantapur, Andhra Pradesh ",Andhra,36.24,7749,395,43,14,199,8,98,58,7,3298,29,42.56,0
Sanjee Prasad,http://www.espncricinfo.com/ci/content/player/32616.html,date unknown ,Orissa,-,-,-,0,-,-,-,-,1,-,-,-,-,0
