name,url,born,teams,first_class
Basant Mohanty,http://www.espncricinfo.com/ci/content/player/324477.html,"November 24, 1986, Cuttack, India ",Orissa,"{'matches': '91', 'inns': '126', 'not_outs': '37', 'runs': '1185', 'highest': '60*', 'average': '13.31', 'balls_faced': '2776', 'strike_rate': '42.68', 'hundreds': '0', 'fifties': '2', 'boundaries': '177', 'sixes': '9', 'catches_taken': '21', 'stumps': '0'}"
DR Mishra,http://www.espncricinfo.com/ci/content/player/340513.html,date unknown ,Orissa,"{'matches': '1', 'inns': '1', 'not_outs': '0', 'runs': '19', 'highest': '19', 'average': '19.00', 'balls_faced': '38', 'strike_rate': '50.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '1', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Rohan  Bhosale,http://www.espncricinfo.com/ci/content/player/376113.html,"September 30, 1988, Mumbai ","Maharashtra,","{'matches': '22', 'inns': '40', 'not_outs': '2', 'runs': '859', 'highest': '82', 'average': '22.60', 'balls_faced': '2291', 'strike_rate': '37.49', 'hundreds': '0', 'fifties': '5', 'boundaries': '101', 'sixes': '4', 'catches_taken': '6', 'stumps': '0'}"
Manish Sharma,http://www.espncricinfo.com/ci/content/player/323119.html,"October 19, 1988, Bundi, Rajasthan ",Rajasthan,"{'matches': '3', 'inns': '6', 'not_outs': '0', 'runs': '113', 'highest': '68', 'average': '18.83', 'balls_faced': '210', 'strike_rate': '53.80', 'hundreds': '0', 'fifties': '1', 'boundaries': '18', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Gopesh Bhowmik,http://www.espncricinfo.com/ci/content/player/317779.html,"April 2, 1987, Agartala ",Tripura,"{'matches': '3', 'inns': '6', 'not_outs': '1', 'runs': '50', 'highest': '27', 'average': '10.00', 'balls_faced': '107', 'strike_rate': '46.72', 'hundreds': '0', 'fifties': '0', 'boundaries': '9', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Alok Mangaraj,http://www.espncricinfo.com/ci/content/player/279657.html,"November 28, 1988, Bhubaneswar ",Orissa,"{'matches': '22', 'inns': '29', 'not_outs': '12', 'runs': '90', 'highest': '24*', 'average': '5.29', 'balls_faced': '237', 'strike_rate': '37.97', 'hundreds': '0', 'fifties': '0', 'boundaries': '12', 'sixes': '4', 'catches_taken': '4', 'stumps': '0'}"
Bhavesh Patel,http://www.espncricinfo.com/ci/content/player/318061.html,"September 30, 1987, Mumbai ",Mumbai,"{'matches': '1', 'inns': '2', 'not_outs': '2', 'runs': '12', 'highest': '8*', 'average': '-', 'balls_faced': '40', 'strike_rate': '30.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '2', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Abhisek Banerjee,http://www.espncricinfo.com/ci/content/player/390728.html,"May 18, 1984, Durgapur ","Bengal,","{'matches': '4', 'inns': '4', 'not_outs': '0', 'runs': '95', 'highest': '68', 'average': '23.75', 'balls_faced': '122', 'strike_rate': '77.86', 'hundreds': '0', 'fifties': '1', 'boundaries': '14', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Kamal Benwal,http://www.espncricinfo.com/ci/content/player/340606.html,date unknown ,Haryana,"{'matches': '3', 'inns': '3', 'not_outs': '1', 'runs': '84', 'highest': '52', 'average': '42.00', 'balls_faced': '105', 'strike_rate': '80.00', 'hundreds': '0', 'fifties': '1', 'boundaries': '4', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Ankit Bawne,http://www.espncricinfo.com/ci/content/player/327123.html,"December 17, 1992, Paitha, Aurangabad ","Delhi Daredevils,","{'matches': '90', 'inns': '140', 'not_outs': '23', 'runs': '5890', 'highest': '258*', 'average': '50.34', 'balls_faced': '12762', 'strike_rate': '46.15', 'hundreds': '17', 'fifties': '32', 'boundaries': '672', 'sixes': '58', 'catches_taken': '39', 'stumps': '0'}"
Kevin D'Costa,http://www.espncricinfo.com/ci/content/player/849779.html,"September 17, 1994 ","Goa,","{'matches': '5', 'inns': '3', 'not_outs': '3', 'runs': '13', 'highest': '13*', 'average': '-', 'balls_faced': '12', 'strike_rate': '108.33', 'hundreds': '0', 'fifties': '0', 'boundaries': '2', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Aniket Desai,http://www.espncricinfo.com/ci/content/player/290637.html,"August 29, 1988, Mapusa, Goa ",Goa,"{'matches': '6', 'inns': '8', 'not_outs': '0', 'runs': '60', 'highest': '37', 'average': '7.50', 'balls_faced': '173', 'strike_rate': '34.68', 'hundreds': '0', 'fifties': '0', 'boundaries': '8', 'sixes': '0', 'catches_taken': '3', 'stumps': '0'}"
Suraj Dongre,http://www.espncricinfo.com/ci/content/player/390621.html,"December 27, 1989, Belgaum, Karnataka ",Goa,"{'matches': '1', 'inns': '2', 'not_outs': '0', 'runs': '25', 'highest': '13', 'average': '12.50', 'balls_faced': '97', 'strike_rate': '25.77', 'hundreds': '0', 'fifties': '0', 'boundaries': '2', 'sixes': '1', 'catches_taken': '0', 'stumps': '0'}"
